sensors/logging_button,2015-03-29 06:24:28.351,START
sensors/imu,2015-03-29 06:24:30.838,0.0,0.0,0.0,0.0,0.0,0.0,169.84,-6.35,-3.53
sensors/brake,2015-03-29 06:24:30.840,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:30.856,4514.0
sensors/brake,2015-03-29 06:24:30.856,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.870,0.0,0.0,0.0,0.0,0.0,0.0,169.86,-6.34,-3.53
sensors/imu,2015-03-29 06:24:30.886,0.0,0.0,0.0,0.0,0.0,0.0,169.87,-6.32,-3.53
sensors/steering,2015-03-29 06:24:30.889,4514.0
sensors/brake,2015-03-29 06:24:30.889,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.902,0.0,0.0,0.0,0.0,0.0,0.0,169.87,-6.32,-3.52
sensors/steering,2015-03-29 06:24:30.906,4514.0
sensors/imu,2015-03-29 06:24:30.918,0.0,0.0,0.0,0.0,0.0,0.0,169.86,-6.33,-3.51
sensors/brake,2015-03-29 06:24:30.922,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:30.936,0.0,0.0,0.0,0.0
sensors/steering,2015-03-29 06:24:30.938,4514.0
sensors/imu,2015-03-29 06:24:30.951,0.0,0.0,0.0,0.0,0.0,0.0,169.86,-6.33,-3.5
sensors/brake,2015-03-29 06:24:30.954,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:30.968,0.0,0.0,0.0,0.0,0.0,0.0,169.87,-6.33,-3.51
sensors/steering,2015-03-29 06:24:30.971,4514.0
